Activity Date,Transaction,Description,Symbol,Qty,Fill Price,Commission,Net Amount
3/1/2013,Buy To Close,P Mar 13 14.00 Call,P,23,0.45,11.95,-1046.95
3/1/2013,,Cash Dividend,INTC,,,,202.5
3/1/2013,,Money Market Dividends Paid,,,,,0.07
2/27/2013,Sell To Open,P Mar 13 14.00 Call,P,-18,0.75,2.7,1347.3
2/27/2013,Sell To Open,P Mar 13 14.00 Call,P,-5,0.75,9.25,365.75
2/25/2013,Sell To Open,FB 1 Mar 13 (W) 27.00 Put,FB,-8,0.36,9.7,278.3
2/21/2013,Sell To Open,FB 22 Feb 13 (W) 27.00 Put,FB,-7,0.18,9.55,116.45
2/20/2013,Buy To Close,P Mar 13 14.00 Call,P,9,0.4,1.35,-361.35
2/20/2013,Buy To Close,P Mar 13 14.00 Call,P,14,0.4,10.6,-570.6
2/19/2013,Sell To Open,P Mar 13 14.00 Call,P,-4,0.8,0.6,319.4
2/19/2013,Sell To Open,P Mar 13 14.00 Call,P,-7,0.8,1.05,558.95
2/19/2013,Sell To Open,P Mar 13 14.00 Call,P,-3,0.8,0.45,239.55
2/19/2013,Sell To Open,P Mar 13 14.00 Call,P,-9,0.8,9.85,710.15
2/19/2013,Sell To Close,INTC Stock,INTC,-900,21.1801,3.95,19058.14
2/15/2013,Buy To Close,P Feb 13 12.00 Call,P,20,0.91,3,-1823
2/15/2013,Sell To Open,P Feb 13 13.00 Call,P,-20,0.01,3,17
2/15/2013,Sell To Open,P Feb 13 13.00 Call,P,-2,0.05,0.3,9.7
2/15/2013,Sell To Open,P Feb 13 13.00 Call,P,-1,0.05,0.15,4.85
2/15/2013,Buy To Close,P Feb 13 12.00 Call,P,3,0.95,12.95,-297.95
2/14/2013,,Cash Dividend,AAPL,,,,87.45
2/12/2013,Sell To Open,INTC Feb 13 21.50 Call,INTC,-9,0.07,9.85,53.15
2/5/2013,Sell To Open,INTC 8 Feb 13 (W) 21.50 Call,INTC,-9,0.05,9.85,35.15
2/1/2013,,Money Market Dividends Paid,,,,,0.15
1/29/2013,Sell To Open,P Feb 13 12.00 Call,P,-23,0.22,3.45,502.55
1/29/2013,Buy To Close,P Feb 13 11.00 Call,P,23,0.61,15.95,-1418.95
1/28/2013,Sell To Open,INTC 1 Feb 13 (W) 21.50 Call,INTC,-9,0.05,9.85,35.15
1/25/2013,Sell To Open,P Feb 13 11.00 Call,P,-23,0.85,11.95,1943.05
1/23/2013,Sell To Open,INTC 25 Jan 13 (W) 21.50 Call,INTC,-9,0.03,9.85,17.15
1/22/2013,Buy To Open,AAPL Stock,AAPL,10,499,3.95,-4993.95
1/22/2013,Buy To Open,INTC Stock,INTC,900,21.17,3.95,-19056.95
1/18/2013,OPTASS,P Jan 13 10.00 Call,P,9,,,0
1/18/2013,Buy To Close,P Jan 13 10.00 Call,P,9,0,,0
1/18/2013,Sell To Open,P Stock,P,-900,10,5,8995
1/15/2013,Sell To Close,ZNGA Stock,ZNGA,-100,2.64,3.95,260.05
1/14/2013,Sell To Open,P Jan 13 11.00 Call,P,-23,0.24,3.45,548.55
1/14/2013,Buy To Close,P Jan 13 10.00 Call,P,23,1,15.95,-2315.95
1/8/2013,Sell To Open,INTC Jan 13 21.00 Put,INTC,-1,0.27,0.15,26.85
1/8/2013,Sell To Open,INTC Jan 13 21.00 Put,INTC,-2,0.27,0.3,53.7
